,日期,牛舍,牛只类型,牛头数,报草量,减草量,剩草量,剩草率,计划头均采食量,实际头均采食量,头均产奶量
1188,2017-5-18,B1-5S,高产,,,0,,#DIV/0!,#DIV/0!,,
1189,2017-5-18,B1-5N,高产,135.0,5800.0,0,400.0,6.9 ,43.0 ,40.0,0.0
1190,2017-5-18,B1-7S,高产,142.0,6400.0,0,200.0,3.1 ,45.1 ,43.661971831,34.0
1191,2017-5-18,B1-7N,高产,143.0,4800.0,0,300.0,6.3 ,33.6 ,31.4685314685,30.7
1192,2017-5-18,B4-1S,高产,151.0,6000.0,200,500.0,8.6 ,39.7 ,35.0993377483,22.4
1193,2017-5-18,B4-1N,高产,158.0,6800.0,200,500.0,7.6 ,43.0 ,38.6075949367,22.5
1194,2017-5-18,B4-3S,高产,96.0,4100.0,0,300.0,7.3 ,42.7 ,39.5833333333,28.1
1195,2017-5-18,B4-3N,高产,107.0,4500.0,0,300.0,6.7 ,42.1 ,39.2523364486,26.5
1196,2017-5-18,B4-5S,高产,148.0,5700.0,-200,200.0,3.4 ,38.5 ,38.5135135135,31.9
1197,2017-5-18,B4-5N,高产,151.0,7000.0,-200,300.0,4.2 ,46.4 ,45.6953642384,38.1
1198,2017-5-18,B4-7S,高产,142.0,5500.0,-200,200.0,3.5 ,38.7 ,38.7323943662,32.5
1199,2017-5-18,B4-7N,高产,148.0,6300.0,-200,300.0,4.6 ,42.6 ,41.8918918919,38.9
1200,2017-5-19,B1-1S,高产,135.0,5500.0,0,400.0,7.3 ,40.7 ,37.7777777778,22.8
1201,2017-5-19,B1-1N,高产,150.0,6300.0,0,400.0,6.3 ,42.0 ,39.3333333333,23.7
1202,2017-5-19,B1-3S,高产,141.0,5800.0,0,300.0,5.2 ,41.1 ,39.0070921986,30.7
1203,2017-5-19,B1-3N,高产,157.0,7100.0,0,300.0,4.2 ,45.2 ,43.3121019108,33.2
