,B1-1N,B1-1S,B1-3N,B1-3S,B1-5N,B1-5S,B1-7N,B1-7S,B4-1N,B4-1S,B4-3N,B4-3S,B4-5N,B4-5S,B4-7N,B4-7S
2017-06-06,"[283.5, 1.0]","[325.0, 2.0]","[180.5, 3.0]","[174.0, 1.0]","[236.5, 1.0]","[21.0, 1.0]","[62.0, 1.0]","[252.0, 2.0]","[332.5, 2.0]","[298.0, 1.0]","[nan, nan]","[217.0, 2.0]","[137.5, 3.0]","[142.0, 1.0]","[75.0, 2.0]","[107.0, 1.0]"
2017-06-07,"[283.0, 1.0]","[326.0, 2.0]","[181.5, 3.0]","[175.0, 1.0]","[238.0, 1.0]","[22.0, 1.0]","[63.0, 1.0]","[253.0, 2.0]","[333.0, 2.0]","[299.0, 1.0]","[nan, nan]","[219.0, 2.0]","[138.0, 3.0]","[143.0, 1.0]","[76.0, 2.0]","[108.0, 1.0]"
2017-06-08,"[284.0, 1.5]","[327.0, 2.0]","[182.5, 3.0]","[176.0, 1.0]","[239.0, 1.0]","[20.0, 1.0]","[64.0, 1.0]","[257.0, 2.0]","[334.0, 2.0]","[300.0, 1.0]","[nan, nan]","[220.0, 2.0]","[139.0, 3.0]","[144.0, 1.0]","[77.0, 2.0]","[109.0, 1.0]"
2017-06-09,"[285.0, 1.5]","[328.0, 2.0]","[183.5, 3.0]","[177.0, 1.0]","[240.0, 1.0]","[21.0, 1.0]","[65.0, 1.0]","[258.0, 2.0]","[333.5, 2.0]","[301.0, 1.0]","[nan, nan]","[220.0, 2.0]","[140.5, 3.0]","[145.0, 1.0]","[78.0, 2.0]","[110.0, 1.0]"
2017-06-10,"[286.0, 1.5]","[330.0, 2.0]","[184.5, 3.0]","[178.0, 1.0]","[241.0, 1.0]","[20.5, 1.0]","[66.0, 1.0]","[259.0, 2.0]","[334.5, 2.0]","[300.5, 1.0]","[nan, nan]","[220.0, 2.0]","[141.5, 3.0]","[146.0, 1.0]","[79.0, 2.0]","[111.0, 1.0]"
2017-06-11,"[287.0, 2.0]","[335.0, 2.0]","[186.5, 3.0]","[179.0, 1.0]","[242.0, 1.0]","[22.0, 1.0]","[67.0, 1.0]","[260.0, 2.0]","[328.0, 2.0]","[301.0, 1.0]","[222.0, 2.0]","[nan, nan]","[143.0, 3.0]","[147.0, 1.0]","[80.0, 2.0]","[112.0, 1.0]"
2017-06-12,"[288.0, 2.0]","[336.0, 2.0]","[187.5, 3.0]","[181.0, 1.0]","[243.0, 1.0]","[23.0, 1.0]","[68.0, 1.0]","[261.0, 2.0]","[335.0, 2.0]","[302.5, 1.0]","[206.0, 2.0]","[nan, nan]","[144.0, 3.0]","[148.0, 1.0]","[81.0, 2.0]","[113.0, 1.0]"
2017-06-13,"[287.0, 2.0]","[337.0, 2.0]","[189.0, 3.0]","[184.0, 1.0]","[244.0, 1.0]","[23.0, 1.0]","[69.0, 1.0]","[262.0, 2.0]","[337.5, 2.0]","[304.0, 1.0]","[203.0, 2.0]","[nan, nan]","[145.0, 3.0]","[149.0, 1.0]","[82.0, 2.0]","[114.0, 1.0]"
2017-06-14,"[286.0, 2.0]","[336.0, 2.0]","[190.0, 3.0]","[185.0, 1.0]","[245.0, 1.0]","[24.0, 1.0]","[70.0, 1.0]","[263.0, 2.0]","[340.0, 2.0]","[286.0, 1.0]","[196.5, 2.0]","[nan, nan]","[146.0, 3.0]","[150.0, 1.0]","[83.0, 2.0]","[115.0, 1.0]"
2017-06-15,"[287.0, 2.0]","[335.0, 2.0]","[191.0, 3.0]","[186.0, 1.0]","[246.0, 1.0]","[25.0, 1.0]","[71.0, 1.0]","[264.0, 2.0]","[339.5, 2.0]","[284.0, 1.0]","[197.5, 2.0]","[nan, nan]","[147.0, 3.0]","[151.0, 1.0]","[84.0, 2.0]","[116.0, 1.0]"
